REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,HP6-107
PATNUM:,3222G
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19911010
LOWFRQ:,10700
HGHFRQ:,11700
GUNITS:,DBI/DBR
LWGAIN:,43.6
MDGAIN:,44.0
HGGAIN:,44.4
AZWIDT:,1.00
ELWIDT:,1.00
ATVSWR:,1.06
FRTOBA:,70.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,59
-180.00,-70.00,
-102.00,-70.00,
-50.00,-46.00,
-30.00,-42.00,
-20.00,-42.00,
-15.00,-39.00,
-11.00,-39.00,
-4.00,-30.00,
-3.00,-24.00,
-1.70,-22.00,
-1.70,-20.50,
-1.30,-18.00,
-0.80,-5.00,
-0.70,-3.00,
-0.50,-1.00,
-0.47,-0.82,
-0.43,-0.66,
-0.40,-0.53,
-0.37,-0.41,
-0.33,-0.31,
-0.30,-0.23,
-0.27,-0.17,
-0.23,-0.12,
-0.20,-0.08,
-0.17,-0.05,
-0.13,-0.03,
-0.10,-0.01,
-0.07,0.00,
-0.03,0.00,
0.00,0.00,
0.03,0.00,
0.07,0.00,
0.10,-0.01,
0.13,-0.03,
0.17,-0.05,
0.20,-0.08,
0.23,-0.12,
0.27,-0.17,
0.30,-0.23,
0.33,-0.31,
0.37,-0.41,
0.40,-0.53,
0.43,-0.66,
0.47,-0.82,
0.50,-1.00,
0.70,-3.00,
0.80,-5.00,
1.30,-18.00,
1.70,-20.50,
1.70,-22.00,
3.00,-24.00,
4.00,-30.00,
11.00,-39.00,
15.00,-39.00,
20.00,-42.00,
30.00,-42.00,
50.00,-46.00,
102.00,-70.00,
180.00,-70.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,23
-180.00,-74.00,
-100.00,-74.00,
-70.00,-70.00,
-45.00,-60.00,
-15.00,-57.00,
-14.00,-55.00,
-7.00,-55.00,
-4.50,-49.00,
-2.50,-46.00,
-1.50,-46.00,
-0.90,-30.00,
0.00,-30.00,
0.90,-30.00,
1.50,-46.00,
2.50,-46.00,
4.50,-49.00,
7.00,-55.00,
14.00,-55.00,
15.00,-57.00,
45.00,-60.00,
70.00,-70.00,
100.00,-74.00,
180.00,-74.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,51
-180.00,-73.00,
-100.00,-73.00,
-15.00,-36.00,
-9.50,-36.00,
-9.00,-32.50,
-6.00,-32.50,
-3.00,-26.00,
-1.30,-18.00,
-0.80,-5.00,
-0.70,-3.00,
-0.50,-1.00,
-0.47,-0.82,
-0.43,-0.67,
-0.40,-0.53,
-0.37,-0.42,
-0.33,-0.32,
-0.30,-0.24,
-0.27,-0.17,
-0.23,-0.12,
-0.20,-0.08,
-0.17,-0.05,
-0.13,-0.03,
-0.10,-0.01,
-0.07,0.00,
-0.03,0.00,
0.00,0.00,
0.03,0.00,
0.07,0.00,
0.10,-0.01,
0.13,-0.03,
0.17,-0.05,
0.20,-0.08,
0.23,-0.12,
0.27,-0.17,
0.30,-0.24,
0.33,-0.32,
0.37,-0.42,
0.40,-0.53,
0.43,-0.67,
0.47,-0.82,
0.50,-1.00,
0.70,-3.00,
0.80,-5.00,
1.30,-18.00,
3.00,-26.00,
6.00,-32.50,
9.00,-32.50,
9.50,-36.00,
15.00,-36.00,
100.00,-73.00,
180.00,-73.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,27
-180.00,-74.00,
-100.00,-74.00,
-70.00,-70.00,
-60.00,-66.00,
-40.00,-64.00,
-15.00,-60.00,
-12.00,-52.00,
-10.00,-49.00,
-4.50,-49.00,
-2.00,-46.00,
-2.00,-43.00,
-1.40,-43.00,
-0.90,-30.00,
0.00,-30.00,
0.90,-30.00,
1.40,-43.00,
2.00,-43.00,
2.00,-46.00,
4.50,-49.00,
10.00,-49.00,
12.00,-52.00,
15.00,-60.00,
40.00,-64.00,
60.00,-66.00,
70.00,-70.00,
100.00,-74.00,
180.00,-74.00,
ENDFIL:,EOF
