REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,HPX8F-19
PATNUM:,2573
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19880215
LOWFRQ:,1900
HGHFRQ:,2300
GUNITS:,DBI/DBR
LWGAIN:,31.1
MDGAIN:,32.0
HGGAIN:,32.9
AZWIDT:,4.10
ELWIDT:,0
ATVSWR:,1.20
FRTOBA:,48.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,33
-180.00,-47.90,
-155.00,-47.90,
-150.00,-52.00,
-111.00,-52.00,
-91.00,-43.00,
-45.00,-31.00,
-30.00,-31.00,
-15.00,-23.00,
-12.00,-20.00,
-8.70,-19.00,
-4.00,-19.00,
-3.00,-9.00,
-2.00,-3.10,
-1.50,-1.80,
-1.00,-0.80,
-0.50,-0.40,
0.00,0.00,
0.50,-0.40,
1.00,-0.80,
1.50,-1.80,
2.00,-3.10,
3.00,-9.00,
4.00,-19.00,
8.70,-19.00,
12.00,-20.00,
15.00,-23.00,
30.00,-31.00,
45.00,-31.00,
91.00,-43.00,
111.00,-52.00,
150.00,-52.00,
155.00,-47.90,
180.00,-47.90,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,21
-180.00,-52.00,
-155.00,-52.00,
-151.00,-55.00,
-109.00,-55.00,
-75.00,-42.00,
-60.00,-39.00,
-15.00,-32.20,
-10.00,-30.00,
-8.00,-28.00,
-1.00,-28.00,
0.00,-32.00,
1.00,-28.00,
8.00,-28.00,
10.00,-30.00,
15.00,-32.20,
60.00,-39.00,
75.00,-42.00,
109.00,-55.00,
151.00,-55.00,
155.00,-52.00,
180.00,-52.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,31
-180.00,-47.90,
-155.00,-47.90,
-150.00,-52.00,
-148.50,-53.00,
-110.00,-53.00,
-50.50,-30.00,
-25.60,-30.00,
-15.00,-22.00,
-9.50,-18.00,
-3.90,-18.00,
-3.00,-9.00,
-2.00,-3.10,
-1.50,-1.80,
-1.00,-0.80,
-0.50,-0.40,
0.00,0.00,
0.50,-0.40,
1.00,-0.80,
1.50,-1.80,
2.00,-3.10,
3.00,-9.00,
3.90,-18.00,
9.50,-18.00,
15.00,-22.00,
25.60,-30.00,
50.50,-30.00,
110.00,-53.00,
148.50,-53.00,
150.00,-52.00,
155.00,-47.90,
180.00,-47.90,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,21
-180.00,-52.00,
-155.00,-52.00,
-151.00,-55.00,
-109.00,-55.00,
-75.00,-42.00,
-60.00,-39.00,
-15.00,-32.20,
-10.00,-30.00,
-8.00,-28.00,
-1.00,-28.00,
0.00,-32.00,
1.00,-28.00,
8.00,-28.00,
10.00,-30.00,
15.00,-32.20,
60.00,-39.00,
75.00,-42.00,
109.00,-55.00,
151.00,-55.00,
155.00,-52.00,
180.00,-52.00,
ENDFIL:,EOF
