REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,PAR10-65
PATNUM:,1257
FEDORN:,RIGHT
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19980123
LOWFRQ:,6425
HGHFRQ:,7125
GUNITS:,DBI/DBR
LWGAIN:,43.4
MDGAIN:,43.6
HGGAIN:,43.8
AZWIDT:,1.00
ELWIDT:,1.00
ATVSWR:,1.06
FRTOBA:,63.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,39
-180.00,-63.00,
-109.00,-63.00,
-100.00,-55.40,
-95.00,-50.00,
-60.00,-49.00,
-44.24,-46.91,
-15.00,-46.50,
-14.69,-46.59,
-12.50,-43.00,
-10.50,-43.00,
-3.00,-22.00,
-1.59,-21.67,
-1.40,-16.13,
-1.20,-10.05,
-1.00,-6.74,
-0.80,-4.44,
-0.60,-2.24,
-0.40,-0.48,
-0.20,-0.01,
0.00,0.00,
0.20,-0.01,
0.40,-0.48,
0.60,-2.24,
0.80,-4.44,
1.00,-6.74,
1.20,-10.05,
1.40,-16.13,
1.59,-21.67,
3.00,-22.00,
10.50,-43.00,
12.50,-43.00,
14.69,-46.59,
15.00,-46.50,
44.24,-46.91,
60.00,-49.00,
95.00,-50.00,
100.00,-55.40,
109.00,-63.00,
180.00,-63.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,19
-180.00,-63.00,
-51.00,-63.00,
-31.73,-62.99,
-15.00,-55.00,
-14.45,-52.31,
-7.56,-52.31,
-6.00,-49.50,
-2.50,-48.00,
-1.50,-30.00,
0.00,-30.00,
1.50,-30.00,
2.50,-48.00,
6.00,-49.50,
7.56,-52.31,
14.45,-52.31,
15.00,-55.00,
31.73,-62.99,
51.00,-63.00,
180.00,-63.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,44
-180.00,-63.00,
-105.00,-63.00,
-91.50,-53.00,
-45.00,-53.00,
-40.00,-48.00,
-22.00,-43.00,
-15.00,-43.00,
-12.00,-43.00,
-10.50,-37.00,
-9.00,-37.00,
-6.00,-30.00,
-3.00,-30.00,
-2.50,-26.00,
-1.50,-25.00,
-1.20,-11.00,
-1.00,-6.70,
-0.80,-4.50,
-0.60,-2.20,
-0.40,-0.90,
-0.20,-0.01,
0.00,0.00,
0.20,-0.01,
0.40,-0.90,
0.60,-2.20,
0.80,-4.50,
1.00,-6.70,
1.20,-11.00,
1.40,-16.70,
1.60,-24.40,
1.80,-27.10,
2.00,-27.50,
2.20,-27.60,
2.40,-27.70,
3.50,-32.00,
6.50,-32.00,
7.50,-34.00,
11.00,-40.00,
12.00,-47.00,
15.00,-50.00,
55.00,-50.00,
61.00,-54.00,
96.00,-54.00,
107.00,-63.00,
180.00,-63.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,13
-180.00,-63.00,
-15.00,-63.00,
-11.00,-63.00,
-10.00,-60.00,
-4.50,-60.00,
-1.50,-30.00,
0.00,-30.00,
1.50,-30.00,
4.50,-60.00,
5.50,-60.00,
7.50,-63.00,
15.00,-63.00,
180.00,-63.00,
ENDFIL:,EOF
