REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,P10-186
PATNUM:,3952
FEDORN:,RIGHT
DESCR1:,
DESCR2:,RPE for the condition when 1.85 GHz is vertically polarized.  Consult RPE 3950 for 1.85 GHz performance.
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19920604
LOWFRQ:,6425
HGHFRQ:,7125
GUNITS:,DBI/DBR
LWGAIN:,43.1
MDGAIN:,43.4
HGGAIN:,43.8
AZWIDT:,1.00
ELWIDT:,1.00
ATVSWR:,1.10
FRTOBA:,52.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,63
-180.0,-52.0,
-170.0,-52.0,
-170.0,-62.0,
-118.0,-62.0,
-91.0,-48.0,
-45.0,-48.0,
-36.0,-40.0,
-15.0,-33.0,
-11.5,-29.0,
-9.5,-29.0,
-9.0,-27.0,
-7.0,-26.0,
-5.0,-26.0,
-4.5,-25.0,
-1.6,-23.2,
-1.5,-21.0,
-1.2,-15.0,
-1.1,-13.4,
-1.1,-11.8,
-1.0,-10.3,
-0.9,-8.9,
-0.8,-7.5,
-0.7,-6.2,
-0.7,-5.0,
-0.6,-3.9,
-0.5,-3.0,
-0.4,-2.1,
-0.3,-1.4,
-0.2,-0.8,
-0.2,-0.4,
-0.1,-0.1,
0.0,0.0,
0.1,-0.1,
0.2,-0.4,
0.2,-0.8,
0.3,-1.4,
0.4,-2.1,
0.5,-3.0,
0.6,-3.9,
0.7,-5.0,
0.7,-6.2,
0.8,-7.5,
0.9,-8.9,
1.0,-10.3,
1.1,-11.8,
1.1,-13.4,
1.2,-15.0,
1.5,-21.0,
1.6,-23.2,
4.5,-25.0,
5.0,-26.0,
7.0,-26.0,
9.0,-27.0,
9.5,-29.0,
11.5,-29.0,
15.0,-33.0,
36.0,-40.0,
45.0,-48.0,
91.0,-48.0,
118.0,-62.0,
170.0,-62.0,
170.0,-52.0,
180.0,-52.0,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,17
-180.0,-64.0,
-101.0,-64.0,
-38.0,-52.0,
-15.0,-50.0,
-11.5,-50.0,
-10.0,-40.0,
-8.5,-40.0,
-6.0,-30.0,
0.0,-30.0,
6.0,-30.0,
8.5,-40.0,
10.0,-40.0,
11.5,-50.0,
15.0,-50.0,
38.0,-52.0,
101.0,-64.0,
180.0,-64.0,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,63
-180.0,-52.0,
-170.0,-52.0,
-170.0,-62.0,
-111.0,-62.0,
-98.0,-50.0,
-44.0,-38.0,
-30.0,-38.0,
-26.5,-34.0,
-20.0,-34.0,
-15.0,-33.0,
-11.0,-29.0,
-10.0,-29.0,
-9.0,-27.0,
-5.0,-27.0,
-3.5,-21.0,
-1.5,-21.0,
-1.2,-15.0,
-1.1,-13.4,
-1.1,-11.8,
-1.0,-10.3,
-0.9,-8.9,
-0.8,-7.5,
-0.7,-6.2,
-0.7,-5.0,
-0.6,-3.9,
-0.5,-3.0,
-0.4,-2.1,
-0.3,-1.4,
-0.2,-0.8,
-0.2,-0.4,
-0.1,-0.1,
0.0,0.0,
0.1,-0.1,
0.2,-0.4,
0.2,-0.8,
0.3,-1.4,
0.4,-2.1,
0.5,-3.0,
0.6,-3.9,
0.7,-5.0,
0.7,-6.2,
0.8,-7.5,
0.9,-8.9,
1.0,-10.3,
1.1,-11.8,
1.1,-13.4,
1.2,-15.0,
1.5,-21.0,
3.5,-21.0,
5.0,-27.0,
9.0,-27.0,
10.0,-29.0,
11.0,-29.0,
15.0,-33.0,
20.0,-34.0,
26.5,-34.0,
30.0,-38.0,
44.0,-38.0,
98.0,-50.0,
111.0,-62.0,
170.0,-62.0,
170.0,-52.0,
180.0,-52.0,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,15
-180.0,-64.0,
-101.0,-64.0,
-52.0,-50.0,
-15.0,-50.0,
-12.0,-41.0,
-4.0,-41.0,
-2.5,-30.0,
0.0,-30.0,
2.5,-30.0,
4.0,-41.0,
12.0,-41.0,
15.0,-50.0,
52.0,-50.0,
101.0,-64.0,
180.0,-64.0,
ENDFIL:,EOF
