REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,P8-186
PATNUM:,3946
FEDORN:,RIGHT
DESCR1:,
DESCR2:,RPE for the condition when 1.85 GHz is horizontally polarized.  Consult RPE 3945 for 1.85 GHz peformance.
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19920604
LOWFRQ:,6425
HGHFRQ:,7125
GUNITS:,DBI/DBR
LWGAIN:,41.6
MDGAIN:,42.0
HGGAIN:,42.5
AZWIDT:,1.30
ELWIDT:,1.30
ATVSWR:,1.10
FRTOBA:,49.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,61
-180.0,-49.0,
-170.0,-49.0,
-170.0,-56.0,
-140.0,-56.0,
-105.0,-42.0,
-36.0,-42.0,
-26.0,-39.0,
-15.0,-39.0,
-14.3,-37.0,
-11.0,-37.0,
-5.0,-27.0,
-2.3,-20.0,
-1.7,-14.8,
-1.5,-10.0,
-1.3,-6.9,
-1.2,-6.3,
-1.1,-5.7,
-1.1,-5.2,
-1.0,-4.6,
-0.9,-4.0,
-0.8,-3.4,
-0.7,-2.9,
-0.7,-2.4,
-0.6,-1.9,
-0.5,-1.4,
-0.4,-1.0,
-0.3,-0.7,
-0.2,-0.4,
-0.2,-0.2,
-0.1,-0.1,
0.0,0.0,
0.1,-0.1,
0.2,-0.2,
0.2,-0.4,
0.3,-0.7,
0.4,-1.0,
0.5,-1.4,
0.6,-1.9,
0.7,-2.4,
0.7,-2.9,
0.8,-3.4,
0.9,-4.0,
1.0,-4.6,
1.1,-5.2,
1.1,-5.7,
1.2,-6.3,
1.3,-6.9,
1.5,-10.0,
1.7,-14.8,
2.3,-20.0,
5.0,-27.0,
11.0,-37.0,
14.3,-37.0,
15.0,-39.0,
26.0,-39.0,
36.0,-42.0,
105.0,-42.0,
140.0,-56.0,
170.0,-56.0,
170.0,-49.0,
180.0,-49.0,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,11
-180.0,-60.0,
-42.0,-60.0,
-15.0,-50.0,
-5.0,-50.0,
-1.0,-30.0,
0.0,-30.0,
1.0,-30.0,
5.0,-50.0,
15.0,-50.0,
42.0,-60.0,
180.0,-60.0,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,61
-180.0,-49.0,
-170.0,-49.0,
-170.0,-56.0,
-140.0,-56.0,
-105.0,-43.0,
-60.0,-42.0,
-35.0,-42.0,
-15.0,-34.0,
-10.0,-34.0,
-7.0,-26.0,
-5.0,-26.0,
-4.0,-20.0,
-1.8,-15.0,
-1.5,-10.0,
-1.4,-8.0,
-1.2,-6.1,
-1.1,-5.3,
-1.1,-4.5,
-1.0,-3.8,
-0.9,-3.2,
-0.8,-2.6,
-0.7,-2.1,
-0.7,-1.7,
-0.6,-1.3,
-0.5,-0.9,
-0.4,-0.6,
-0.3,-0.4,
-0.2,-0.2,
-0.2,-0.1,
-0.1,0.0,
0.0,0.0,
0.1,0.0,
0.2,-0.1,
0.2,-0.2,
0.3,-0.4,
0.4,-0.6,
0.5,-0.9,
0.6,-1.3,
0.7,-1.7,
0.7,-2.1,
0.8,-2.6,
0.9,-3.2,
1.0,-3.8,
1.1,-4.5,
1.1,-5.3,
1.2,-6.1,
1.4,-8.0,
1.5,-10.0,
1.8,-15.0,
4.0,-20.0,
5.0,-26.0,
7.0,-26.0,
10.0,-34.0,
15.0,-34.0,
35.0,-42.0,
60.0,-42.0,
105.0,-43.0,
140.0,-56.0,
170.0,-56.0,
170.0,-49.0,
180.0,-49.0,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,17
-180.0,-60.0,
-99.0,-60.0,
-50.0,-58.0,
-15.0,-46.0,
-10.0,-38.0,
-3.5,-35.0,
-3.0,-35.0,
-2.0,-30.0,
0.0,-30.0,
2.0,-30.0,
3.0,-35.0,
3.5,-35.0,
10.0,-38.0,
15.0,-46.0,
50.0,-58.0,
99.0,-60.0,
180.0,-60.0,
ENDFIL:,EOF
