REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,FPX8-64
PATNUM:,6127
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19771128
LOWFRQ:,6425
HGHFRQ:,7125
GUNITS:,DBI/DBR
LWGAIN:,40.8
MDGAIN:,41.2
HGGAIN:,41.4
AZWIDT:,1.30
ELWIDT:,1.30
ATVSWR:,1.07
FRTOBA:,64.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,41
-180.00,-64.00,
-110.00,-64.00,
-105.00,-62.00,
-85.00,-46.00,
-45.00,-44.00,
-28.00,-44.00,
-28.00,-42.00,
-20.00,-42.00,
-17.50,-41.00,
-17.50,-36.00,
-15.00,-36.00,
-14.50,-36.00,
-12.00,-34.00,
-6.50,-32.00,
-5.00,-28.00,
-3.50,-26.00,
-2.00,-18.00,
-1.50,-8.00,
-1.00,-2.40,
-0.50,-0.80,
0.00,0.00,
0.50,-0.80,
1.00,-2.40,
1.50,-8.00,
2.00,-18.00,
3.50,-26.00,
5.00,-28.00,
6.50,-32.00,
12.00,-34.00,
14.50,-36.00,
15.00,-36.00,
17.50,-36.00,
17.50,-41.00,
20.00,-42.00,
28.00,-42.00,
28.00,-44.00,
45.00,-44.00,
85.00,-46.00,
105.00,-62.00,
110.00,-64.00,
180.00,-64.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,25
-180.00,-65.00,
-64.00,-65.00,
-54.00,-57.00,
-20.00,-56.00,
-15.00,-50.00,
-14.80,-49.00,
-13.00,-45.00,
-11.20,-45.00,
-10.50,-43.00,
-4.50,-43.00,
-2.50,-34.80,
-2.20,-30.00,
0.00,-30.00,
2.20,-30.00,
2.50,-34.80,
4.50,-43.00,
10.50,-43.00,
11.20,-45.00,
13.00,-45.00,
14.80,-49.00,
15.00,-50.00,
20.00,-56.00,
54.00,-57.00,
64.00,-65.00,
180.00,-65.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,41
-180.00,-64.00,
-110.00,-64.00,
-105.00,-62.00,
-85.00,-46.00,
-45.00,-44.00,
-28.00,-44.00,
-28.00,-42.00,
-20.00,-42.00,
-17.50,-41.00,
-17.50,-36.00,
-15.00,-36.00,
-14.50,-36.00,
-12.00,-34.00,
-6.50,-32.00,
-5.00,-28.00,
-3.50,-26.00,
-2.00,-18.00,
-1.50,-8.00,
-1.00,-2.40,
-0.50,-0.80,
0.00,0.00,
0.50,-0.80,
1.00,-2.40,
1.50,-8.00,
2.00,-18.00,
3.50,-26.00,
5.00,-28.00,
6.50,-32.00,
12.00,-34.00,
14.50,-36.00,
15.00,-36.00,
17.50,-36.00,
17.50,-41.00,
20.00,-42.00,
28.00,-42.00,
28.00,-44.00,
45.00,-44.00,
85.00,-46.00,
105.00,-62.00,
110.00,-64.00,
180.00,-64.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,25
-180.00,-65.00,
-64.00,-65.00,
-54.00,-57.00,
-20.00,-56.00,
-15.00,-50.00,
-14.80,-49.00,
-13.00,-45.00,
-11.20,-45.00,
-10.50,-43.00,
-4.50,-43.00,
-2.50,-34.80,
-2.20,-30.00,
0.00,-30.00,
2.20,-30.00,
2.50,-34.80,
4.50,-43.00,
10.50,-43.00,
11.20,-45.00,
13.00,-45.00,
14.80,-49.00,
15.00,-50.00,
20.00,-56.00,
54.00,-57.00,
64.00,-65.00,
180.00,-65.00,
ENDFIL:,EOF
