REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,PL10-71
PATNUM:,2699E
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19780712
LOWFRQ:,7125
HGHFRQ:,7750
GUNITS:,DBI/DBR
LWGAIN:,44.1
MDGAIN:,44.5
HGGAIN:,44.8
AZWIDT:,0.90
ELWIDT:,0.90
ATVSWR:,1.06
FRTOBA:,52.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,25
-180.00,-52.00,
-170.00,-52.00,
-170.00,-64.00,
-118.50,-64.00,
-94.90,-45.00,
-15.00,-45.00,
-11.90,-40.00,
-5.80,-40.00,
-4.50,-30.00,
-1.50,-24.70,
-1.00,-10.00,
-0.50,-1.20,
0.00,0.00,
0.50,-1.20,
1.00,-10.00,
1.50,-24.70,
4.50,-30.00,
5.80,-40.00,
11.90,-40.00,
15.00,-45.00,
94.90,-45.00,
118.50,-64.00,
170.00,-64.00,
170.00,-52.00,
180.00,-52.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,21
-180.00,-64.00,
-70.00,-64.00,
-30.00,-61.00,
-19.50,-61.00,
-15.00,-59.00,
-12.50,-56.00,
-8.50,-56.00,
-3.00,-50.00,
-1.50,-43.80,
-1.00,-30.00,
0.00,-30.00,
1.00,-30.00,
1.50,-43.80,
3.00,-50.00,
8.50,-56.00,
12.50,-56.00,
15.00,-59.00,
19.50,-61.00,
30.00,-61.00,
70.00,-64.00,
180.00,-64.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,33
-180.00,-52.00,
-170.00,-52.00,
-170.00,-64.00,
-108.50,-64.00,
-92.50,-47.00,
-90.00,-47.00,
-80.00,-53.00,
-60.00,-53.00,
-36.00,-47.00,
-20.00,-37.90,
-12.10,-37.90,
-11.70,-33.90,
-4.00,-33.90,
-1.50,-24.70,
-1.00,-10.00,
-0.50,-1.20,
0.00,0.00,
0.50,-1.20,
1.00,-10.00,
1.50,-24.70,
4.00,-33.90,
11.70,-33.90,
12.10,-37.90,
20.00,-37.90,
36.00,-47.00,
60.00,-53.00,
80.00,-53.00,
90.00,-47.00,
92.50,-47.00,
108.50,-64.00,
170.00,-64.00,
170.00,-52.00,
180.00,-52.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,23
-180.00,-64.00,
-108.00,-64.00,
-100.00,-62.00,
-60.00,-60.00,
-30.00,-60.00,
-15.00,-55.00,
-12.60,-46.90,
-6.10,-46.90,
-5.10,-43.80,
-1.50,-43.80,
-1.00,-30.00,
0.00,-30.00,
1.00,-30.00,
1.50,-43.80,
5.10,-43.80,
6.10,-46.90,
12.60,-46.90,
15.00,-55.00,
30.00,-60.00,
60.00,-60.00,
100.00,-62.00,
108.00,-64.00,
180.00,-64.00,
ENDFIL:,EOF
