REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,HPX15-58W
PATNUM:,4707
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,20010327
LOWFRQ:,6425
HGHFRQ:,6930
GUNITS:,DBI/DBR
LWGAIN:,46.7
MDGAIN:,46.9
HGGAIN:,47.0
AZWIDT:,0.80
ELWIDT:,0.80
ATVSWR:,1.08
FRTOBA:,69.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,41
-180.00,-69.00,
-96.00,-69.00,
-84.00,-65.00,
-75.00,-52.00,
-52.00,-50.00,
-46.50,-50.00,
-39.00,-44.00,
-18.00,-44.00,
-15.00,-38.50,
-12.00,-33.00,
-8.00,-33.00,
-4.50,-26.00,
-2.00,-26.00,
-1.35,-24.00,
-1.13,-18.00,
-0.95,-12.00,
-0.70,-6.00,
-0.60,-4.00,
-0.40,-2.00,
-0.20,-0.15,
0.00,0.00,
0.20,-0.15,
0.40,-2.00,
0.60,-4.00,
0.70,-6.00,
0.95,-12.00,
1.13,-18.00,
1.35,-24.00,
2.00,-26.00,
4.50,-26.00,
8.00,-33.00,
12.00,-33.00,
15.00,-38.50,
18.00,-44.00,
39.00,-44.00,
46.50,-50.00,
52.00,-50.00,
75.00,-52.00,
84.00,-65.00,
96.00,-69.00,
180.00,-69.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,25
-180.00,-71.00,
-88.00,-71.00,
-80.00,-64.00,
-56.00,-64.00,
-46.00,-61.00,
-32.00,-60.00,
-16.00,-60.00,
-15.00,-57.00,
-11.00,-56.00,
-6.50,-35.00,
-2.00,-35.00,
-2.00,-30.00,
0.00,-30.00,
2.00,-30.00,
2.00,-35.00,
6.50,-35.00,
11.00,-56.00,
15.00,-57.00,
16.00,-60.00,
32.00,-60.00,
46.00,-61.00,
56.00,-64.00,
80.00,-64.00,
88.00,-71.00,
180.00,-71.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,45
-180.00,-69.00,
-170.00,-69.00,
-170.00,-72.00,
-94.00,-72.00,
-86.00,-68.00,
-75.00,-52.00,
-51.00,-52.00,
-48.00,-50.00,
-28.00,-50.00,
-16.50,-40.00,
-15.00,-40.00,
-9.00,-36.00,
-6.50,-31.00,
-3.50,-31.00,
-2.00,-26.00,
-1.35,-24.00,
-1.13,-18.00,
-0.93,-12.00,
-0.70,-6.00,
-0.60,-4.00,
-0.40,-2.00,
-0.20,-0.15,
0.00,0.00,
0.20,-0.15,
0.40,-2.00,
0.60,-4.00,
0.70,-6.00,
0.93,-12.00,
1.13,-18.00,
1.35,-24.00,
2.00,-26.00,
3.50,-31.00,
6.50,-31.00,
9.00,-36.00,
15.00,-40.00,
16.50,-40.00,
28.00,-50.00,
48.00,-50.00,
51.00,-52.00,
75.00,-52.00,
86.00,-68.00,
94.00,-72.00,
170.00,-72.00,
170.00,-69.00,
180.00,-69.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,25
-180.00,-71.00,
-90.00,-71.00,
-82.00,-65.00,
-63.00,-65.00,
-52.00,-61.00,
-39.00,-61.00,
-34.00,-58.00,
-15.00,-58.00,
-10.00,-52.00,
-7.00,-41.00,
-4.00,-41.00,
-2.00,-30.00,
0.00,-30.00,
2.00,-30.00,
4.00,-41.00,
7.00,-41.00,
10.00,-52.00,
15.00,-58.00,
34.00,-58.00,
39.00,-61.00,
52.00,-61.00,
63.00,-65.00,
82.00,-65.00,
90.00,-71.00,
180.00,-71.00,
ENDFIL:,EOF
