REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,P10F-9
PATNUM:,2308
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19950315
LOWFRQ:,890
HGHFRQ:,960
GUNITS:,DBI/DBR
LWGAIN:,26.0
MDGAIN:,26.3
HGGAIN:,26.6
AZWIDT:,7.80
ELWIDT:,7.80
ATVSWR:,1.30
FRTOBA:,29.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,45
-180.00,-29.00,
-169.00,-29.00,
-152.50,-36.00,
-120.00,-36.00,
-85.00,-23.80,
-79.50,-23.80,
-68.00,-27.00,
-58.00,-27.00,
-51.50,-24.00,
-35.00,-24.00,
-15.00,-15.00,
-10.60,-13.10,
-8.50,-8.10,
-6.70,-5.00,
-6.00,-3.90,
-5.00,-2.80,
-4.00,-1.80,
-3.00,-0.90,
-2.50,-0.70,
-2.00,-0.40,
-1.50,-0.10,
-1.00,0.00,
0.00,0.00,
1.00,0.00,
1.50,-0.10,
2.00,-0.40,
2.50,-0.70,
3.00,-0.90,
4.00,-1.80,
5.00,-2.80,
6.00,-3.90,
6.70,-5.00,
8.50,-8.10,
10.60,-13.10,
15.00,-15.00,
35.00,-24.00,
51.50,-24.00,
58.00,-27.00,
68.00,-27.00,
79.50,-23.80,
85.00,-23.80,
120.00,-36.00,
152.50,-36.00,
169.00,-29.00,
180.00,-29.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,19
-180.00,-36.00,
-120.00,-36.00,
-112.00,-35.00,
-57.50,-34.30,
-55.00,-30.10,
-26.00,-30.10,
-22.00,-25.50,
-15.00,-24.00,
-7.00,-15.00,
0.00,-15.00,
7.00,-15.00,
15.00,-24.00,
22.00,-25.50,
26.00,-30.10,
55.00,-30.10,
57.50,-34.30,
112.00,-35.00,
120.00,-36.00,
180.00,-36.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,45
-180.00,-29.00,
-169.00,-29.00,
-152.50,-36.00,
-120.00,-36.00,
-85.00,-23.80,
-79.50,-23.80,
-68.00,-27.00,
-58.00,-27.00,
-51.50,-24.00,
-35.00,-24.00,
-15.00,-15.00,
-10.60,-13.10,
-8.50,-8.10,
-6.70,-5.00,
-6.00,-3.90,
-5.00,-2.80,
-4.00,-1.80,
-3.00,-0.90,
-2.50,-0.70,
-2.00,-0.40,
-1.50,-0.10,
-1.00,0.00,
0.00,0.00,
1.00,0.00,
1.50,-0.10,
2.00,-0.40,
2.50,-0.70,
3.00,-0.90,
4.00,-1.80,
5.00,-2.80,
6.00,-3.90,
6.70,-5.00,
8.50,-8.10,
10.60,-13.10,
15.00,-15.00,
35.00,-24.00,
51.50,-24.00,
58.00,-27.00,
68.00,-27.00,
79.50,-23.80,
85.00,-23.80,
120.00,-36.00,
152.50,-36.00,
169.00,-29.00,
180.00,-29.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,19
-180.00,-36.00,
-120.00,-36.00,
-112.00,-35.00,
-57.50,-34.30,
-55.00,-30.10,
-26.00,-30.10,
-22.00,-25.50,
-15.00,-24.00,
-7.00,-15.00,
0.00,-15.00,
7.00,-15.00,
15.00,-24.00,
22.00,-25.50,
26.00,-30.10,
55.00,-30.10,
57.50,-34.30,
112.00,-35.00,
120.00,-36.00,
180.00,-36.00,
ENDFIL:,EOF
