REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,VHLP2.5-180
PATNUM:,4012
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19990430
LOWFRQ:,17700
HGHFRQ:,19700
GUNITS:,DBI/DBR
LWGAIN:,40.5
MDGAIN:,41.0
HGGAIN:,41.4
AZWIDT:,1.50
ELWIDT:,1.50
ATVSWR:,1.30
FRTOBA:,69.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,51
-180.0,-69.0,
-90.0,-69.0,
-60.0,-50.0,
-50.0,-46.0,
-40.0,-46.0,
-36.0,-44.0,
-30.0,-43.0,
-25.0,-42.0,
-20.0,-41.0,
-15.0,-38.0,
-10.0,-34.0,
-7.0,-30.0,
-5.5,-30.0,
-4.5,-24.0,
-3.5,-24.0,
-2.7,-16.0,
-1.5,-16.0,
-1.4,-12.9,
-1.2,-8.9,
-1.0,-5.6,
-0.8,-3.8,
-0.7,-2.3,
-0.5,-1.4,
-0.3,-0.5,
-0.2,-0.2,
0.0,0.0,
0.2,-0.2,
0.3,-0.5,
0.5,-1.4,
0.7,-2.3,
0.8,-3.8,
1.0,-5.6,
1.2,-8.9,
1.4,-12.9,
1.5,-16.0,
2.7,-16.0,
3.5,-24.0,
4.5,-24.0,
5.5,-30.0,
7.0,-30.0,
10.0,-34.0,
15.0,-38.0,
20.0,-41.0,
25.0,-42.0,
30.0,-43.0,
36.0,-44.0,
40.0,-46.0,
50.0,-46.0,
60.0,-50.0,
90.0,-69.0,
180.0,-69.0,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,29
-180.0,-73.0,
-90.0,-73.0,
-75.0,-68.0,
-60.0,-68.0,
-40.0,-60.0,
-20.0,-60.0,
-15.0,-56.0,
-10.0,-56.0,
-8.0,-52.0,
-5.0,-46.0,
-4.0,-44.0,
-2.0,-38.0,
-1.4,-38.0,
-1.0,-30.0,
0.0,-30.0,
1.0,-30.0,
1.4,-38.0,
2.0,-38.0,
4.0,-44.0,
5.0,-46.0,
8.0,-52.0,
10.0,-56.0,
15.0,-56.0,
20.0,-60.0,
40.0,-60.0,
60.0,-68.0,
75.0,-68.0,
90.0,-73.0,
180.0,-73.0,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,43
-180.0,-69.0,
-90.0,-69.0,
-60.0,-50.0,
-50.0,-46.0,
-30.0,-44.0,
-20.0,-40.0,
-15.0,-38.0,
-10.0,-33.0,
-8.0,-30.0,
-6.0,-30.0,
-5.0,-25.0,
-4.5,-22.0,
-3.3,-22.0,
-2.3,-14.0,
-1.4,-14.0,
-1.2,-10.0,
-1.0,-6.4,
-0.7,-2.6,
-0.5,-1.4,
-0.3,-0.5,
-0.2,-0.3,
0.0,0.0,
0.2,-0.3,
0.3,-0.5,
0.5,-1.4,
0.7,-2.6,
1.0,-6.4,
1.2,-10.0,
1.4,-14.0,
2.3,-14.0,
3.3,-22.0,
4.5,-22.0,
5.0,-25.0,
6.0,-30.0,
8.0,-30.0,
10.0,-33.0,
15.0,-38.0,
20.0,-40.0,
30.0,-44.0,
50.0,-46.0,
60.0,-50.0,
90.0,-69.0,
180.0,-69.0,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,23
-180.0,-73.0,
-90.0,-73.0,
-70.0,-68.0,
-50.5,-60.0,
-40.0,-60.0,
-20.0,-54.0,
-15.0,-54.0,
-10.0,-54.0,
-4.0,-39.0,
-2.0,-39.0,
-1.0,-30.0,
0.0,-30.0,
1.0,-30.0,
2.0,-39.0,
4.0,-39.0,
10.0,-54.0,
15.0,-54.0,
20.0,-54.0,
40.0,-60.0,
50.5,-60.0,
70.0,-68.0,
90.0,-73.0,
180.0,-73.0,
ENDFIL:,EOF
