REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,KP13F-15
PATNUM:,2980B
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19921210
LOWFRQ:,1427
HGHFRQ:,1535
GUNITS:,DBI/DBR
LWGAIN:,32.8
MDGAIN:,33.1
HGGAIN:,33.4
AZWIDT:,3.80
ELWIDT:,3.80
ATVSWR:,1.15
FRTOBA:,40.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,35
-180.00,-40.00,
-170.00,-40.00,
-170.00,-41.00,
-140.00,-41.00,
-120.00,-37.00,
-100.00,-29.00,
-30.00,-29.00,
-15.00,-25.00,
-7.50,-22.00,
-5.00,-16.00,
-4.00,-16.00,
-3.00,-9.10,
-2.50,-6.30,
-2.00,-4.10,
-1.50,-2.40,
-1.00,-1.30,
-0.50,-0.60,
0.00,0.00,
0.50,-0.60,
1.00,-1.30,
1.50,-2.40,
2.00,-4.10,
2.50,-6.30,
3.00,-9.10,
4.00,-16.00,
5.00,-16.00,
7.50,-22.00,
15.00,-25.00,
30.00,-29.00,
100.00,-29.00,
120.00,-37.00,
140.00,-41.00,
170.00,-41.00,
170.00,-40.00,
180.00,-40.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,15
-180.00,-40.00,
-170.00,-40.00,
-170.00,-41.00,
-15.00,-41.00,
-10.00,-41.00,
-7.00,-40.00,
-4.00,-30.00,
0.00,-30.00,
4.00,-30.00,
7.00,-40.00,
10.00,-41.00,
15.00,-41.00,
170.00,-41.00,
170.00,-40.00,
180.00,-40.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,35
-180.00,-40.00,
-170.00,-40.00,
-170.00,-41.00,
-130.00,-41.00,
-100.00,-36.00,
-50.00,-36.00,
-30.00,-29.00,
-15.00,-25.00,
-7.50,-22.00,
-5.00,-17.00,
-4.00,-10.40,
-3.00,-5.90,
-2.50,-3.90,
-2.00,-2.40,
-1.50,-1.50,
-1.00,-0.70,
-0.50,-0.20,
0.00,0.00,
0.50,-0.20,
1.00,-0.70,
1.50,-1.50,
2.00,-2.40,
2.50,-3.90,
3.00,-5.90,
4.00,-10.40,
5.00,-17.00,
7.50,-22.00,
15.00,-25.00,
30.00,-29.00,
50.00,-36.00,
100.00,-36.00,
130.00,-41.00,
170.00,-41.00,
170.00,-40.00,
180.00,-40.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,15
-180.00,-40.00,
-170.00,-40.00,
-170.00,-41.00,
-15.00,-41.00,
-10.00,-41.00,
-7.00,-40.00,
-4.00,-30.00,
0.00,-30.00,
4.00,-30.00,
7.00,-40.00,
10.00,-41.00,
15.00,-41.00,
170.00,-41.00,
170.00,-40.00,
180.00,-40.00,
ENDFIL:,EOF
