REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,PL10-59W
PATNUM:,4710A
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,20011201
LOWFRQ:, 5925 
HGHFRQ:, 7125 
GUNITS:,DBI/DBR
LWGAIN:,42.9
MDGAIN:,43.6
HGGAIN:,44.3
AZWIDT:,1.1
ELWIDT:,1.1
ATVSWR:,1.06
FRTOBA:,51
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:, 43 
-180.00,-51.00,
-175.01,-51.00,
-175.00,-58.00,
-110.00,-58.00,
-105.50,-54.00,
-95.00,-45.00,
-25.00,-45.00,
-21.75,-43.50,
-20.00,-42.00,
-19.00,-42.00,
-15.00,-40.00,
-5.91,-28.50,
-3.50,-25.00,
-3.08,-25.00,
-3.00,-25.00,
-1.70,-25.00,
-1.50,-20.00,
-1.27,-13.64,
-1.20,-10.00,
-1.00,-6.00,
-0.50,-1.90,
0.00,0.00,
0.50,-1.90,
1.00,-6.00,
1.20,-10.00,
1.27,-13.64,
1.50,-20.00,
1.70,-25.00,
3.00,-25.00,
3.08,-25.00,
3.50,-25.00,
5.91,-28.50,
15.00,-40.00,
19.00,-42.00,
20.00,-42.00,
21.75,-43.50,
25.00,-45.00,
95.00,-45.00,
105.50,-54.00,
110.00,-58.00,
175.00,-58.00,
175.01,-51.00,
180.00,-51.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:, 29 
-180.00,-59.00,
-176.01,-59.00,
-176.00,-62.00,
-100.00,-62.00,
-80.00,-60.00,
-48.28,-57.25,
-15.00,-52.25,
-9.00,-48.50,
-8.59,-48.25,
-8.50,-48.00,
-7.92,-45.75,
-6.00,-37.00,
-3.44,-37.00,
-3.00,-30.00,
0.00,-30.00,
3.00,-30.00,
3.44,-37.00,
6.00,-37.00,
7.92,-45.75,
8.50,-48.00,
8.59,-48.25,
9.00,-48.50,
15.00,-52.25,
48.28,-57.25,
80.00,-60.00,
100.00,-62.00,
176.00,-62.00,
176.01,-59.00,
180.00,-59.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:, 41 
-180.00,-51.00,
-175.01,-51.00,
-175.00,-58.00,
-110.00,-58.00,
-105.50,-54.00,
-95.50,-45.50,
-37.50,-45.00,
-30.00,-40.00,
-27.00,-37.75,
-25.00,-34.00,
-15.00,-34.00,
-13.50,-34.00,
-8.10,-27.00,
-3.75,-25.00,
-1.70,-25.00,
-1.50,-20.00,
-1.27,-13.75,
-1.20,-10.00,
-1.00,-6.00,
-0.50,-1.90,
0.00,0.00,
0.50,-1.90,
1.00,-6.00,
1.20,-10.00,
1.27,-13.75,
1.50,-20.00,
1.70,-25.00,
3.75,-25.00,
8.10,-27.00,
13.50,-34.00,
15.00,-34.00,
25.00,-34.00,
27.00,-37.75,
30.00,-40.00,
37.50,-45.00,
95.50,-45.50,
105.50,-54.00,
110.00,-58.00,
175.00,-58.00,
175.01,-51.00,
180.00,-51.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:, 33 
-180.00,-59.00,
-176.01,-59.00,
-176.00,-62.00,
-105.00,-62.00,
-100.00,-61.00,
-70.00,-55.00,
-32.50,-55.00,
-31.50,-54.75,
-15.00,-52.25,
-14.50,-52.00,
-8.50,-44.75,
-7.50,-43.50,
-7.00,-41.50,
-6.00,-37.00,
-4.00,-37.00,
-3.00,-30.00,
0.00,-30.00,
3.00,-30.00,
4.00,-37.00,
6.00,-37.00,
7.00,-41.50,
7.50,-43.50,
8.50,-44.75,
14.50,-52.00,
15.00,-52.25,
31.50,-54.75,
32.50,-55.00,
70.00,-55.00,
100.00,-61.00,
105.00,-62.00,
176.00,-62.00,
176.01,-59.00,
180.00,-59.00,
ENDFIL:,EOF
