REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,P12-105
PATNUM:,3218B
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19910907
LOWFRQ:,10500
HGHFRQ:,10700
GUNITS:,DBI/DBR
LWGAIN:,49.2
MDGAIN:,49.3
HGGAIN:,49.4
AZWIDT:,0.70
ELWIDT:,0.70
ATVSWR:,1.10
FRTOBA:,55.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,81
-180.00,-55.00,
-170.00,-55.00,
-170.00,-57.00,
-108.00,-57.00,
-103.00,-50.00,
-95.00,-50.00,
-90.00,-52.00,
-80.00,-52.00,
-60.00,-49.00,
-30.00,-49.00,
-25.00,-47.00,
-15.00,-47.00,
-10.00,-47.00,
-8.00,-42.00,
-6.00,-42.00,
-4.00,-38.00,
-3.00,-26.00,
-2.00,-25.00,
-1.00,-17.50,
-0.70,-17.50,
-0.60,-15.60,
-0.60,-13.80,
-0.60,-13.50,
-0.60,-12.40,
-0.50,-11.60,
-0.50,-10.30,
-0.50,-10.10,
-0.50,-9.30,
-0.50,-8.20,
-0.40,-6.90,
-0.40,-6.60,
-0.40,-5.90,
-0.40,-5.10,
-0.30,-4.40,
-0.30,-3.40,
-0.30,-3.20,
-0.30,-2.30,
-0.20,-1.40,
-0.20,-0.60,
-0.10,-0.20,
0.00,0.00,
0.10,-0.20,
0.20,-0.60,
0.20,-1.40,
0.30,-2.30,
0.30,-3.20,
0.30,-3.40,
0.30,-4.40,
0.40,-5.10,
0.40,-5.90,
0.40,-6.60,
0.40,-6.90,
0.50,-8.20,
0.50,-9.30,
0.50,-10.10,
0.50,-10.30,
0.50,-11.60,
0.60,-12.40,
0.60,-13.50,
0.60,-13.80,
0.60,-15.60,
0.70,-17.50,
1.00,-17.50,
2.00,-25.00,
3.00,-26.00,
4.00,-38.00,
6.00,-42.00,
8.00,-42.00,
10.00,-47.00,
15.00,-47.00,
25.00,-47.00,
30.00,-49.00,
60.00,-49.00,
80.00,-52.00,
90.00,-52.00,
95.00,-50.00,
103.00,-50.00,
108.00,-57.00,
170.00,-57.00,
170.00,-55.00,
180.00,-55.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,17
-180.00,-64.00,
-60.00,-64.00,
-40.00,-62.00,
-15.00,-62.00,
-7.50,-62.00,
-3.50,-44.00,
-2.00,-44.00,
-0.70,-30.00,
0.00,-30.00,
0.70,-30.00,
2.00,-44.00,
3.50,-44.00,
7.50,-62.00,
15.00,-62.00,
40.00,-62.00,
60.00,-64.00,
180.00,-64.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,83
-180.00,-55.00,
-170.00,-55.00,
-170.00,-57.00,
-110.00,-57.00,
-103.00,-50.00,
-95.00,-50.00,
-85.00,-55.00,
-60.00,-55.00,
-45.00,-52.00,
-28.00,-52.00,
-19.00,-45.00,
-15.00,-45.00,
-13.50,-40.00,
-9.50,-40.00,
-9.00,-37.00,
-6.50,-37.00,
-6.00,-31.00,
-3.00,-31.00,
-2.50,-26.00,
-1.50,-26.00,
-1.00,-15.00,
-0.70,-15.00,
-0.60,-13.90,
-0.60,-12.90,
-0.60,-12.40,
-0.60,-12.10,
-0.50,-9.50,
-0.50,-9.00,
-0.50,-8.10,
-0.50,-7.00,
-0.40,-6.20,
-0.40,-5.90,
-0.40,-5.40,
-0.40,-4.60,
-0.40,-4.00,
-0.30,-3.20,
-0.30,-2.70,
-0.30,-2.00,
-0.20,-1.20,
-0.10,-0.40,
-0.10,-0.30,
0.00,0.00,
0.10,-0.30,
0.10,-0.40,
0.20,-1.20,
0.30,-2.00,
0.30,-2.70,
0.30,-3.20,
0.40,-4.00,
0.40,-4.60,
0.40,-5.40,
0.40,-5.90,
0.40,-6.20,
0.50,-7.00,
0.50,-8.10,
0.50,-9.00,
0.50,-9.50,
0.60,-12.10,
0.60,-12.40,
0.60,-12.90,
0.60,-13.90,
0.70,-15.00,
1.00,-15.00,
1.50,-26.00,
2.50,-26.00,
3.00,-31.00,
6.00,-31.00,
6.50,-37.00,
9.00,-37.00,
9.50,-40.00,
13.50,-40.00,
15.00,-45.00,
19.00,-45.00,
28.00,-52.00,
45.00,-52.00,
60.00,-55.00,
85.00,-55.00,
95.00,-50.00,
103.00,-50.00,
110.00,-57.00,
170.00,-57.00,
170.00,-55.00,
180.00,-55.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,13
-180.00,-64.00,
-15.00,-64.00,
-9.00,-64.00,
-7.50,-50.00,
-2.50,-50.00,
-0.70,-30.00,
0.00,-30.00,
0.70,-30.00,
2.50,-50.00,
7.50,-50.00,
9.00,-64.00,
15.00,-64.00,
180.00,-64.00,
ENDFIL:,EOF
