REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,VHP2.5-142
PATNUM:,3877
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19950308
LOWFRQ:,14250
HGHFRQ:,15350
GUNITS:,DBI/DBR
LWGAIN:,38.8
MDGAIN:,39.1
HGGAIN:,39.4
AZWIDT:,1.80
ELWIDT:,1.80
ATVSWR:,1.20
FRTOBA:,64.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,77
-180.0,-64.0,
-100.0,-64.0,
-75.0,-50.0,
-48.0,-39.0,
-30.0,-39.0,
-25.0,-34.0,
-15.0,-30.0,
-8.0,-25.0,
-5.0,-24.0,
-3.0,-17.0,
-2.4,-17.0,
-2.3,-16.0,
-2.2,-15.0,
-2.2,-14.0,
-2.1,-13.0,
-2.0,-12.0,
-1.9,-11.0,
-1.8,-10.0,
-1.7,-9.0,
-1.6,-8.0,
-1.5,-7.0,
-1.4,-6.0,
-1.3,-5.0,
-1.3,-4.8,
-1.2,-4.2,
-1.1,-3.6,
-1.0,-3.0,
-0.9,-2.4,
-0.8,-1.8,
-0.6,-1.2,
-0.4,-0.6,
-0.3,-0.3,
-0.3,-0.3,
-0.3,-0.3,
-0.3,-0.2,
-0.2,-0.2,
-0.2,-0.1,
-0.1,-0.1,
0.0,0.0,
0.1,-0.1,
0.2,-0.1,
0.2,-0.2,
0.3,-0.2,
0.3,-0.3,
0.3,-0.3,
0.3,-0.3,
0.4,-0.6,
0.6,-1.2,
0.8,-1.8,
0.9,-2.4,
1.0,-3.0,
1.1,-3.6,
1.2,-4.2,
1.3,-4.8,
1.3,-5.0,
1.4,-6.0,
1.5,-7.0,
1.6,-8.0,
1.7,-9.0,
1.8,-10.0,
1.9,-11.0,
2.0,-12.0,
2.1,-13.0,
2.2,-14.0,
2.2,-15.0,
2.3,-16.0,
2.4,-17.0,
3.0,-17.0,
5.0,-24.0,
8.0,-25.0,
15.0,-30.0,
25.0,-34.0,
30.0,-39.0,
48.0,-39.0,
75.0,-50.0,
100.0,-64.0,
180.0,-64.0,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,23
-180.0,-66.0,
-80.0,-66.0,
-70.0,-58.0,
-57.0,-55.0,
-50.0,-54.0,
-45.0,-52.0,
-29.0,-50.0,
-15.0,-48.0,
-7.0,-44.0,
-4.0,-44.0,
-1.0,-32.0,
0.0,-32.0,
1.0,-32.0,
4.0,-44.0,
7.0,-44.0,
15.0,-48.0,
29.0,-50.0,
45.0,-52.0,
50.0,-54.0,
57.0,-55.0,
70.0,-58.0,
80.0,-66.0,
180.0,-66.0,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,81
-180.0,-66.0,
-80.0,-66.0,
-55.0,-47.0,
-35.0,-44.0,
-26.0,-38.0,
-15.0,-33.0,
-10.0,-26.0,
-4.0,-25.0,
-2.8,-23.0,
-2.6,-20.0,
-2.5,-19.0,
-2.5,-18.0,
-2.4,-17.0,
-2.3,-16.0,
-2.2,-15.0,
-2.2,-14.0,
-2.1,-13.0,
-2.0,-12.0,
-1.9,-11.0,
-1.8,-10.0,
-1.7,-9.0,
-1.6,-8.0,
-1.5,-7.0,
-1.4,-6.0,
-1.3,-5.0,
-1.3,-4.8,
-1.2,-4.2,
-1.1,-3.6,
-1.0,-3.0,
-0.9,-2.4,
-0.8,-1.8,
-0.6,-1.2,
-0.4,-0.6,
-0.3,-0.3,
-0.3,-0.3,
-0.3,-0.3,
-0.3,-0.2,
-0.2,-0.2,
-0.2,-0.1,
-0.1,-0.1,
0.0,0.0,
0.1,-0.1,
0.2,-0.1,
0.2,-0.2,
0.3,-0.2,
0.3,-0.3,
0.3,-0.3,
0.3,-0.3,
0.4,-0.6,
0.6,-1.2,
0.8,-1.8,
0.9,-2.4,
1.0,-3.0,
1.1,-3.6,
1.2,-4.2,
1.3,-4.8,
1.3,-5.0,
1.4,-6.0,
1.5,-7.0,
1.6,-8.0,
1.7,-9.0,
1.8,-10.0,
1.9,-11.0,
2.0,-12.0,
2.1,-13.0,
2.2,-14.0,
2.2,-15.0,
2.3,-16.0,
2.4,-17.0,
2.5,-18.0,
2.5,-19.0,
2.6,-20.0,
2.8,-23.0,
4.0,-25.0,
10.0,-26.0,
15.0,-33.0,
26.0,-38.0,
35.0,-44.0,
55.0,-47.0,
80.0,-66.0,
180.0,-66.0,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,17
-180.0,-66.0,
-70.0,-66.0,
-60.0,-59.0,
-40.0,-56.0,
-15.0,-50.0,
-10.0,-45.0,
-4.0,-44.0,
-1.0,-32.0,
0.0,-32.0,
1.0,-32.0,
4.0,-44.0,
10.0,-45.0,
15.0,-50.0,
40.0,-56.0,
60.0,-59.0,
70.0,-66.0,
180.0,-66.0,
ENDFIL:,EOF
