REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,HPX4-105
PATNUM:,2462B
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19950824
LOWFRQ:,10500
HGHFRQ:,10700
GUNITS:,DBI/DBR
LWGAIN:,39.8
MDGAIN:,39.9
HGGAIN:,40.0
AZWIDT:,1.80
ELWIDT:,1.80
ATVSWR:,1.10
FRTOBA:,60.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,47
-180.00,-60.00,
-80.00,-60.00,
-65.00,-46.00,
-50.00,-46.00,
-30.00,-36.00,
-25.00,-36.00,
-20.00,-33.00,
-15.00,-33.00,
-11.00,-33.00,
-10.00,-26.00,
-4.00,-26.00,
-3.00,-20.00,
-2.20,-20.00,
-2.00,-17.00,
-1.75,-12.00,
-1.60,-9.48,
-1.40,-7.26,
-1.20,-5.33,
-1.00,-3.70,
-0.80,-2.37,
-0.60,-1.33,
-0.40,-0.59,
-0.20,-0.15,
0.00,0.00,
0.20,-0.15,
0.40,-0.59,
0.60,-1.33,
0.80,-2.37,
1.00,-3.70,
1.20,-5.33,
1.40,-7.26,
1.60,-9.48,
1.75,-12.00,
2.00,-17.00,
2.20,-20.00,
3.00,-20.00,
4.00,-26.00,
10.00,-26.00,
11.00,-33.00,
15.00,-33.00,
20.00,-33.00,
25.00,-36.00,
30.00,-36.00,
50.00,-46.00,
65.00,-46.00,
80.00,-60.00,
180.00,-60.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,19
-180.00,-65.00,
-70.00,-65.00,
-60.00,-60.00,
-40.00,-60.00,
-35.00,-57.00,
-15.00,-57.00,
-10.00,-49.00,
-4.00,-49.00,
-2.00,-30.00,
0.00,-30.00,
2.00,-30.00,
4.00,-49.00,
10.00,-49.00,
15.00,-57.00,
35.00,-57.00,
40.00,-60.00,
60.00,-60.00,
70.00,-65.00,
180.00,-65.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,39
-180.00,-60.00,
-80.00,-60.00,
-25.00,-34.00,
-15.00,-34.00,
-13.50,-34.00,
-11.00,-26.00,
-4.00,-26.00,
-3.00,-24.00,
-2.20,-24.00,
-2.00,-17.00,
-1.75,-12.00,
-1.60,-9.48,
-1.40,-7.26,
-1.20,-5.33,
-1.00,-3.70,
-0.80,-2.37,
-0.60,-1.33,
-0.40,-0.59,
-0.20,-0.15,
0.00,0.00,
0.20,-0.15,
0.40,-0.59,
0.60,-1.33,
0.80,-2.37,
1.00,-3.70,
1.20,-5.33,
1.40,-7.26,
1.60,-9.48,
1.75,-12.00,
2.00,-17.00,
2.20,-24.00,
3.00,-24.00,
4.00,-26.00,
11.00,-26.00,
13.50,-34.00,
15.00,-34.00,
25.00,-34.00,
80.00,-60.00,
180.00,-60.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,25
-180.00,-65.00,
-75.00,-65.00,
-65.00,-59.00,
-50.00,-59.00,
-45.00,-57.00,
-35.00,-57.00,
-25.00,-50.00,
-15.00,-50.00,
-12.00,-50.00,
-11.00,-47.00,
-4.00,-47.00,
-2.00,-30.00,
0.00,-30.00,
2.00,-30.00,
4.00,-47.00,
11.00,-47.00,
12.00,-50.00,
15.00,-50.00,
25.00,-50.00,
35.00,-57.00,
45.00,-57.00,
50.00,-59.00,
65.00,-59.00,
75.00,-65.00,
180.00,-65.00,
ENDFIL:,EOF
